NEE,LE,LE_unc,H,H_unc,Tau,Tau_unc,CO2_strg,LE_strg,H_strg,Pa,Ta,RH,VPD,Rnet,Rg,G1,G2,G3,G4,Tsoil1,Tsoil2,VWC_1,VWC2,Precipitation,Windspeed,Winddir,FootprintFraction,Ustar,TKE,Tstar,L,zL,TER,GEP
1.7883,56.177,4.9485,6.5357,1.7335,0.0473,0.0043292,-0.031121,0.96325,-0.30829,101.496,17.98,52.92,9.67,14.29,132.87,-15.88,0.021309,8.4877,-3.3856,22.656,22.734,0.10832,0.295,0.0,1.4391,256.25,97,0.2,0.29023,0.027017,-104.31,-0.013831,7.8417,6.0517
2.8745,3.0926,0.26971,-14.454,0.80954,0.081533,0.005257,0.017679,0.098825,0.088014,101.712,9.69,90.83,1.1,-3.852,0.0,5.8081,5.1582,3.8322,5.9897,7.739,7.9003,0.30194,0.49216,0.0,2.2827,192.31,96,0.26,0.446,-0.044819,102.04,0.014337,2.86033,-0.0096686
2.5192,4.1482,0.3755,-35.38,2.0082,0.077506,0.0058708,-0.075184,0.034721,0.19611,102.361,11.11,77.85,2.92,-39.654,0.0,-5.7247,0.65001,6.6504,-2.3604,10.813,10.378,0.22379,0.43757,0.0,2.41,287.06,96,0.25,0.52364,-0.11247,38.717,0.037438,2.54632,0.026321
3.8198,0.94262,0.25958,-35.08,2.0421,0.066624,0.0058646,-0.024958,0.14696,0.013606,100646.9,9.8,83.52,1.99,-54.881,0.0,-11.935,-10.633,-14.754,-9.341,10.39,10.709,0.80304,0.47468,0.0,2.0978,202.03,96,0.23,0.72284,-0.12102,31.313,0.043831,4.00369,0.18369
0.68747,-1.3698,0.16913,-5.6819,0.36483,0.0046087,0.00069408,-0.10907,-0.3312,-0.32208,102.812,3.61,85.32,1.16,-52.508,0.0,-2.6536,-5.8838,-5.8674,-4.1316,7.8625,7.3831,0.52465,0.38772,0.0,0.73951,288.9,93,0.06,0.10196,-0.073022,3.3373,0.44263,3.5662,2.8762
2.6558,0.89578,0.3175,-55.279,2.7639,0.14767,0.0083057,-0.023967,-0.16301,0.072033,100.909,5.27,84.9,1.34,-69.822,0.0,-1.3535,-4.3825,-4.1651,-3.379,5.5951,5.4034,0.52502,0.40461,0.0,2.5814,185.51,96,0.34,0.67847,-0.12702,63.75,0.025694,2.81347,0.15347
1.1482,10.622,0.49039,-47.881,1.9045,0.1632,0.0085781,0.004988,-0.10431,-0.1571,101.497,4.31,79.93,1.66,-80.7,0.0,-18.442,-13.856,-9.0961,-11.741,3.5608,3.7196,0.30027,0.46889,0.0,4.1296,301.01,95,0.36,1.021,-0.10421,84.63,0.017128,1.37827,0.22827
0.71673,0.67409,0.092817,-0.78971,0.2969,0.0079385,0.00015335,0.069977,0.095054,0.15871,102741.0,-0.81,94.32,0.33,1.1553,0.0,-8.205,-8.1772,-7.8499,-7.2734,1.6474,1.828,0.54594,0.30895,0.0,0.47987,147.48,79,0.08,0.063212,-0.0076777,52.964,0.027052,2.66849,1.9485
0.30176,2.7029,0.25053,-8.8609,0.89429,0.013102,0.0016231,0.020269,-0.0097459,-0.17567,102.59,0.06,81.73,1.12,-46.209,0.0,-11.337,-10.704,-9.7068,-10.932,2.3725,2.3453,0.34349,0.50312,0.0,1.1574,279.16,96,0.1,0.12139,-0.067221,10.066,0.14236,1.00527,0.70527
16.849,56.147,5.0116,-44.403,4.6013,0.24082,0.0074264,0.085245,-1.6531,-1.7123,101.562,20.54,82.03,4.33,-38.103,0.0,7.1164,7.8432,8.0296,5.6585,21.788,22.058,0.24879,0.30365,0.0,2.1926,296.3,95,0.45,0.82864,-0.081415,179.81,0.0075967,10.23352,-6.6165
